人物,音色,情绪,文字内容
Narrator,ryan,平静,"I believe that a well-known anecdote exists to the effect that a young writer, determined to make the commencement of his story forcible and original enough to catch and rivet the attention of the most blasé of editors, penned the following sentence:"
Narrator,ryan,平静,'Hell!' said the Duchess.
Narrator,ryan,平静,"Strangely enough, this tale of mine opens in much the same fashion. Only the lady who gave utterance to the exclamation was not a Duchess!"
Narrator,ryan,平静,It was a day in early June.
Narrator,ryan,平静,"I had been transacting some business in Paris and was returning by the morning service to London where I was still sharing rooms with my old friend, the Belgian ex-detective, Hercule Poirot."
Narrator,ryan,平静,"The Calais express was singularly empty—in fact, my own compartment held only one other traveller."
Narrator,ryan,平静,I had made a somewhat hurried departure from the hotel and was busy assuring myself that I had duly collected all my traps when the train started.
Narrator,ryan,平静,"Up till then I had hardly noticed my companion, but I was now violently recalled to the fact of her existence."
Narrator,ryan,平静,"Jumping up from her seat, she let down the window and stuck her head out, withdrawing it a moment later with the brief and forcible ejaculation—"
Girl,sohee,愤怒,Hell!
Narrator,ryan,严肃,"Now I am old-fashioned. A woman, I consider, should be womanly. I have no patience with the modern neurotic girl who jazzes from morning to night, smokes like a chimney, and uses language which would make a Billingsgate fishwoman blush!"
Narrator,ryan,平静,"I looked up now, frowning slightly, into a pretty, impudent face, surmounted by a rakish little red hat. A thick cluster of black curls hid each ear. I judged that she was little more than seventeen, but her face was covered with powder, and her lips were quite impossibly scarlet."
Narrator,ryan,平静,"Nothing abashed, she returned my glance, and executed an expressive grimace."
Girl,sohee,高兴,"Dear me, we've shocked the kind gentleman!"
Girl,sohee,高兴,"I apologize for my language! Most unladylike, and all that, but Oh, Lord, there's reason enough for it!"
Girl,sohee,惊讶,Do you know I've lost my only sister?
Hastings,ryan,平静,Really? How unfortunate.
Girl,sohee,高兴,He disapproves!
Girl,sohee,高兴,"He disapproves utterly—of me, and my sister—which last is unfair, because he hasn't seen her!"
Girl,sohee,高兴,Say no more! Nobody loves me! I shall go into the garden and eat worms! Boohoo! I am crushed!
Narrator,ryan,平静,"She buried herself behind a large comic French paper. In a minute or two I saw her eyes stealthily peeping at me over the top. In spite of myself I could not help smiling, and in a minute she had tossed the paper aside, and had burst into a merry peal of laughter."
Girl,sohee,高兴,I knew you weren't such a mutt as you looked.
Narrator,ryan,平静,"Her laughter was so infectious that I could not help joining in, though I hardly cared for the word 'mutt.'"
Narrator,ryan,平静,"The girl was certainly all that I most disliked, but that was no reason why I should make myself ridiculous by my attitude. I prepared to unbend. After all, she was decidedly pretty. …"
Girl,sohee,高兴,There! Now we're friends! Say you're sorry about my sister—
Hastings,ryan,高兴,I am desolated!
Girl,sohee,高兴,That's a good boy!
Hastings,ryan,高兴,"Let me finish. I was going to add that, although I am desolated, I can manage to put up with her absence very well."
Narrator,ryan,平静,But this most unaccountable of damsels frowned and shook her head.
Girl,sohee,严肃,Cut it out. I prefer the 'dignified disapproval' stunt.
Girl,sohee,严肃,"Oh, your face! 'Not one of us,' it said. And you were right there—though, mind you, it's pretty hard to tell nowadays."
Girl,sohee,严肃,It's not every one who can distinguish between a demi and a duchess.
Girl,sohee,严肃,"There now, I believe I've shocked you again! You've been dug out of the backwoods, you have."
Girl,sohee,严肃,Not that I mind that. We could do with a few more of your sort. I just hate a fellow who gets fresh. It makes me mad.
Narrator,ryan,平静,She shook her head vigorously.
Hastings,ryan,高兴,What are you like when you're mad?
Girl,sohee,亢奋,"A regular little devil! Don't care what I say, or what I do, either! I nearly did a chap in once. Yes, really. He'd have deserved it too."
Girl,sohee,亢奋,Italian blood I've got. I shall get into trouble one of these days.
Hastings,ryan,温柔,"Well, don't get mad with me."
Girl,sohee,高兴,I shan't. I like you—did the first moment I set eyes on you. But you looked so disapproving that I never thought we should make friends.
Hastings,ryan,高兴,"Well, we have. Tell me something about yourself."
Girl,sohee,平静,"I'm an actress. No—not the kind you're thinking of, lunching at the Savoy covered with jewellery, and with their photograph in every paper saying how much they love Madame So and So's face cream."
Girl,sohee,平静,I've been on the boards since I was a kid of six—tumbling.
Hastings,ryan,惊讶,I beg your pardon?
Girl,sohee,平静,Haven't you seen child acrobats?
Hastings,ryan,平静,"Oh, I understand."
Girl,sohee,平静,"I'm American born, but I've spent most of my life in England."
Girl,sohee,高兴,We got a new show now—
Hastings,ryan,平静,We?
Girl,sohee,高兴,"My sister and I. Sort of song and dance, and a bit of patter, and a dash of the old business thrown in. It's quite a new idea, and it hits them every time. There's to be money in it—"
Narrator,ryan,平静,"My new acquaintance leaned forward, and discoursed volubly, a great many of her terms being quite unintelligible to me."
Narrator,ryan,平静,Yet I found myself evincing an increasing interest in her. She seemed such a curious mixture of child and woman.
Narrator,ryan,平静,"Though perfectly worldly-wise, and able, as she expressed it, to take care of herself, there was yet something curiously ingenuous in her single-minded attitude towards life, and her whole-hearted determination to 'make good.'"
Narrator,ryan,平静,"This glimpse of a world unknown to me was not without its charm, and I enjoyed seeing her vivid little face light up as she talked."
Narrator,ryan,平静,We passed through Amiens. The name awakened many memories. My companion seemed to have an intuitive knowledge of what was in my mind.
Girl,sohee,严肃,Thinking of the War?
Hastings,ryan,悲伤,I nodded.
Girl,sohee,平静,"You were through it, I suppose?"
Hastings,ryan,平静,"Pretty well. I was wounded once, and after the Somme they invalided me out altogether. I had a half fledged Army job for a bit. I'm a sort of private secretary now to an M. P."
Girl,sohee,高兴,My! That's brainy!
Hastings,ryan,平静,"No, it isn't. There's really awfully little to do. Usually a couple of hours every day sees me through. It's dull work too."
Hastings,ryan,平静,"In fact, I don't know what I should do if I hadn't got something to fall back upon."
Girl,sohee,惊讶,Don't say you collect bugs!
Hastings,ryan,平静,No. I share rooms with a very interesting man. He's a Belgian—an ex-detective.
Hastings,ryan,平静,"He's set up as a private detective in London, and he's doing extraordinarily well. He's really a very marvellous little man. Time and again he has proved to be right where the official police have failed."
Girl,sohee,亢奋,"Isn't that interesting, now? I just adore crime. I go to all the mysteries on the movies. And when there's a murder on I just devour the papers."
Hastings,ryan,平静,Do you remember the Styles Case?
Girl,sohee,平静,"Let me see, was that the old lady who was poisoned? Somewhere down in Essex?"
Hastings,ryan,平静,"That was Poirot's first big case. Undoubtedly, but for him, the murderer would have escaped scot-free. It was a most wonderful bit of detective work."
Narrator,ryan,平静,"Warming to my subject, I ran over the heads of the affair, working up to the triumphant and unexpected dénouement. The girl listened spellbound."
Narrator,ryan,平静,"In fact, we were so absorbed that the train drew into Calais station before we realized it."
Girl,sohee,惊讶,My goodness gracious me! Where's my powder-puff?
Narrator,ryan,平静,"She proceeded to bedaub her face liberally, and then applied a stick of lip salve to her lips, observing the effect in a small pocket glass, and betraying not the faintest sign of self-consciousness."
Hastings,ryan,担忧,"I say, I hesitated. I dare say it's cheek on my part, but why do all that sort of thing?"
Narrator,ryan,平静,"The girl paused in her operations, and stared at me with undisguised surprise."
Hastings,ryan,温柔,It isn't as though you weren't so pretty that you can afford to do without it.
Girl,sohee,严肃,My dear boy! I've got to do it. All the girls do. Think I want to look like a little frump up from the country?
Narrator,ryan,平静,"She took one last look in the mirror, smiled approval, and put it and her vanity-box away in her bag."
Girl,sohee,严肃,"That's better. Keeping up appearances is a bit of a fag, I grant, but if a girl respects herself it's up to her not to let herself get slack."
Narrator,ryan,平静,"To this essentially moral sentiment, I had no reply. A point of view makes a great difference."
Narrator,ryan,平静,"I secured a couple of porters, and we alighted on the platform. My companion held out her hand."
Girl,sohee,高兴,"Good-bye, and I'll mind my language better in future."
Hastings,ryan,高兴,"Oh, but surely you'll let me look after you on the boat?"
Girl,sohee,平静,Mayn't be on the boat. I've got to see whether that sister of mine got aboard after all anywhere. But thanks all the same.
Hastings,ryan,高兴,"Oh, but we're going to meet again, surely? I— I want to meet your sister."
Narrator,ryan,平静,We both laughed.
Girl,sohee,平静,That's real nice of you. I'll tell her what you say. But I don't fancy we'll meet again.
Girl,sohee,悲伤,"You've been very good to me on the journey, especially after I cheeked you as I did. But what your face expressed first thing is quite true. I'm not your kind. And that brings trouble—I know that well enough. …"
Girl,sohee,平静,So good-bye.
Hastings,ryan,高兴,Aren't you even going to tell me your name?
Narrator,ryan,平静,She looked over her shoulder. A dimple appeared in each cheek. She was like a lovely picture by Greuze.
Girl,sohee,高兴,Cinderella.
Narrator,ryan,平静,But little did I think when and how I should see Cinderella again.